Latitud,Longitud,P(ppm),K(ppm),N(ppm),S(ppm),pH,Compactacion(MPa)
-27.4398143088831,-51.1845824899433,33.8,265.9,58.8,33.1,6.19,1.55
-27.4397691689755,-51.1845824148343,38.9,346.1,68.7,37.0,6.66,1.47
-27.4397240290676,-51.1845823397254,48.1,386.1,83.0,38.6,6.92,1.17
-27.4396788891593,-51.1845822646167,46.3,402.8,74.1,38.4,6.48,1.3
-27.4396337492508,-51.1845821895082,34.6,300.1,60.6,32.5,6.26,1.86
-27.439588609342,-51.1845821143998,30.7,269.5,56.6,23.9,6.24,1.9
-27.4395434694329,-51.1845820392917,39.0,317.6,66.1,27.4,6.39,1.93
-27.4394983295235,-51.1845819641837,45.2,340.8,57.6,36.7,6.37,1.56
-27.4394531896139,-51.1845818890758,46.9,360.9,72.6,32.9,6.76,1.52
-27.4394080497039,-51.1845818139682,41.6,319.6,64.3,31.6,6.37,1.22
-27.4393629097936,-51.1845817388607,38.5,299.1,64.6,29.8,6.07,1.86
-27.4393177698831,-51.1845816637534,45.5,328.9,72.7,31.6,6.47,1.57
-27.4392726299722,-51.1845815886463,49.3,335.0,68.0,31.2,6.5,1.61
-27.4392274900611,-51.1845815135393,41.1,348.8,73.7,37.8,6.46,1.33
-27.4391823501496,-51.1845814384326,30.1,296.8,57.6,22.3,6.25,2.01
-27.4391372102379,-51.184581363326,39.3,299.1,63.3,30.0,6.38,1.92
-27.4390920703259,-51.1845812882195,43.6,329.4,64.5,34.3,6.7,1.76
-27.4390469304135,-51.1845812131133,32.0,232.0,53.0,31.0,6.24,1.76
-27.4390017905009,-51.1845811380072,39.7,303.4,60.8,26.7,6.1,1.81
-27.438956650588,-51.1845810629013,43.9,371.2,73.7,37.0,6.62,1.18
-27.4389115106748,-51.1845809877956,40.6,317.3,60.8,34.1,6.43,1.59
-27.4388663707613,-51.18458091269,44.8,367.2,79.8,38.3,6.68,1.17
-27.4388212308476,-51.1845808375847,52.0,350.7,79.4,37.4,6.74,1.22
-27.4387760909335,-51.1845807624795,35.0,278.1,61.0,29.4,6.2,1.77
-27.4387309510191,-51.1845806873744,28.4,234.7,53.1,24.6,5.83,2.23
-27.4386858111045,-51.1845806122696,30.8,252.5,61.7,30.8,6.06,1.65
-27.4386406711895,-51.1845805371649,37.2,304.0,68.2,25.1,6.27,1.37
-27.4385955312743,-51.1845804620604,31.6,300.6,52.0,24.5,6.21,1.85
-27.4385503913587,-51.1845803869561,41.5,379.4,70.2,34.8,6.73,1.56
-27.4385052514429,-51.1845803118519,41.3,343.4,71.4,34.4,6.58,1.42
-27.4384601115268,-51.184580236748,28.4,244.0,51.9,25.1,6.08,1.65
-27.4384149716104,-51.1845801616442,48.9,329.3,78.2,32.1,6.6,1.13
-27.4383698316937,-51.1845800865405,50.6,394.6,75.5,37.6,6.78,1.07
-27.4383246917767,-51.1845800114371,38.1,283.4,51.7,27.7,6.24,1.57
-27.4382795518594,-51.1845799363338,48.0,338.0,71.1,36.4,6.7,1.46
-27.4382344119418,-51.1845798612307,44.3,349.3,58.8,29.1,6.33,1.69
-27.4381892720239,-51.1845797861278,28.8,290.8,55.5,26.1,6.33,1.89
-27.4381441321057,-51.184579711025,38.8,323.9,67.9,34.2,6.5,1.64
-27.4380989921873,-51.1845796359225,38.0,358.1,68.7,33.5,6.51,1.86
-27.4380538522685,-51.1845795608201,37.3,292.7,58.4,33.0,6.32,1.5
-27.4380087123495,-51.1845794857178,41.6,356.3,74.0,34.5,6.53,1.5
-27.4379635724301,-51.1845794106158,48.6,447.9,74.1,39.5,6.6,1.14
-27.4379184325105,-51.1845793355139,48.4,380.3,70.9,38.6,6.72,1.27
-27.4378732925906,-51.1845792604122,40.5,322.3,64.4,29.8,6.44,1.48
-27.4378281526703,-51.1845791853107,29.3,264.1,56.2,27.5,6.03,1.86
-27.4377830127498,-51.1845791102094,26.7,318.7,45.4,25.8,6.31,1.96
-27.437737872829,-51.1845790351082,42.1,392.3,73.8,38.8,6.57,1.45
-27.4376927329079,-51.1845789600072,42.2,344.7,70.6,35.7,6.48,1.56
-27.4376475929865,-51.1845788849064,47.1,389.7,73.8,34.3,6.64,1.4
-27.4376024530648,-51.1845788098057,33.2,317.8,56.9,24.5,6.16,1.74
-27.4375573131429,-51.1845787347052,34.4,285.1,57.1,28.9,6.21,1.72
-27.4375121732206,-51.1845786596049,35.6,294.5,69.8,30.2,6.17,1.74
-27.437467033298,-51.1845785845048,33.4,299.9,65.3,32.7,6.2,1.6
-27.4374218933752,-51.1845785094049,26.3,256.6,46.7,27.3,5.95,2.15
-27.437376753452,-51.1845784343051,38.6,340.1,65.9,28.8,6.36,1.42
-27.4373316135286,-51.1845783592055,32.9,323.4,59.4,30.9,6.56,1.61
-27.4372864736049,-51.1845782841061,43.2,329.8,72.9,32.5,6.55,2.0
-27.4372413336808,-51.1845782090068,41.2,348.7,79.0,37.3,6.66,1.38
-27.4371961937565,-51.1845781339078,41.8,370.8,61.4,35.0,6.53,1.52
-27.4371510538319,-51.1845780588089,36.8,303.5,60.6,23.5,6.4,1.78
-27.437105913907,-51.1845779837101,30.9,270.9,51.4,26.6,6.23,1.6
-27.4370607739818,-51.1845779086116,25.7,237.6,40.1,18.9,5.88,1.76
-27.4370156340563,-51.1845778335132,42.9,301.2,72.7,28.7,6.56,1.72
-27.4369704941306,-51.184577758415,40.9,300.2,66.6,33.9,6.33,1.66
-27.4369253542045,-51.184577683317,40.7,345.2,71.2,32.4,6.54,1.18
-27.4368802142781,-51.1845776082192,38.4,265.9,49.7,27.2,6.08,1.66
-27.4368350743514,-51.1845775331215,44.2,342.6,71.3,39.3,6.49,1.18
-27.4367899344245,-51.184577458024,42.4,328.5,68.9,31.5,6.53,1.6
-27.4367447944973,-51.1845773829267,37.2,281.5,62.5,27.7,6.38,1.79
-27.4366996545697,-51.1845773078295,50.6,363.7,81.0,37.4,6.71,1.38
-27.4366545146419,-51.1845772327326,32.8,288.7,64.7,30.1,6.12,2.04
-27.4366093747138,-51.1845771576358,32.4,271.0,50.1,24.7,6.27,2.12
-27.4365642347854,-51.1845770825391,28.9,238.3,51.5,22.6,5.97,1.97
-27.4365190948566,-51.1845770074427,49.3,358.8,77.4,41.6,6.68,1.65
-27.4364739549276,-51.1845769323464,45.8,346.2,63.8,30.9,6.7,1.51
-27.4364288149983,-51.1845768572503,33.5,265.6,39.1,20.3,5.95,1.9
-27.4363836750688,-51.1845767821544,25.5,307.0,46.6,23.8,5.93,1.99
-27.4363385351389,-51.1845767070587,27.0,251.7,55.3,27.0,5.99,1.85
-27.4362933952087,-51.1845766319631,43.7,361.1,70.1,39.2,6.34,1.49
-27.4362482552782,-51.1845765568677,31.9,290.3,55.5,25.7,6.16,1.73
-27.4362031153475,-51.1845764817725,54.0,359.6,73.6,33.9,6.58,1.44
-27.4361579754164,-51.1845764066774,31.9,266.0,51.2,26.0,6.11,2.37
-27.4361128354851,-51.1845763315826,39.6,304.2,61.0,33.4,6.36,1.32
-27.4360676955535,-51.1845762564879,34.6,289.0,64.2,27.5,6.01,1.68
-27.4360225556215,-51.1845761813933,45.6,382.5,66.8,39.5,6.71,1.21
-27.4359774156893,-51.184576106299,32.8,251.0,60.7,25.4,6.19,1.99
-27.4359322757568,-51.1845760312048,32.7,276.5,45.5,26.4,6.09,1.32
-27.435887135824,-51.1845759561108,32.9,243.4,54.6,26.5,6.26,2.01
-27.4358419958909,-51.184575881017,41.8,360.9,62.4,36.0,6.63,1.26
-27.4357968559575,-51.1845758059234,52.2,382.9,73.6,42.2,6.7,1.53
-27.4357517160238,-51.1845757308299,39.3,302.7,52.5,28.6,6.2,1.61
-27.4357065760899,-51.1845756557366,49.0,407.1,81.7,36.6,6.88,1.12
-27.4356614361556,-51.1845755806435,34.1,339.4,61.3,34.8,6.37,1.53
-27.435616296221,-51.1845755055505,38.8,309.0,62.1,25.7,6.17,1.6
-27.4355711562862,-51.1845754304578,47.9,314.7,63.6,38.5,6.53,1.47
-27.435526016351,-51.1845753553652,40.9,265.5,57.2,32.6,6.37,1.66
-27.4354808764156,-51.1845752802728,37.5,264.5,62.6,28.0,6.34,1.69
-27.4354357364799,-51.1845752051805,45.0,345.0,67.7,28.9,6.6,1.72
-27.4353905965438,-51.1845751300884,37.2,274.9,55.1,27.3,6.33,1.52
-27.4353454566075,-51.1845750549965,40.6,310.4,61.2,33.1,6.33,1.65
-27.4353003166709,-51.1845749799048,38.4,319.9,66.7,31.4,6.41,1.83
-27.435255176734,-51.1845749048133,49.5,396.7,87.4,40.1,6.76,1.1
-27.4352100367968,-51.1845748297219,35.6,276.6,58.1,23.6,6.16,1.89
-27.4351648968593,-51.1845747546307,46.0,385.5,87.6,35.0,6.69,1.43
-27.4351197569215,-51.1845746795397,35.9,329.4,65.2,28.9,6.27,2.06
-27.4350746169835,-51.1845746044489,45.5,342.0,71.3,34.7,6.62,1.46
-27.4350294770451,-51.1845745293582,42.0,365.9,72.9,36.0,6.37,1.65
-27.4349843371064,-51.1845744542677,47.6,370.0,83.2,41.0,6.56,1.36
-27.4349391971675,-51.1845743791774,39.6,347.4,61.6,29.7,6.35,1.41
-27.4348940572282,-51.1845743040872,43.6,303.0,54.0,30.3,6.38,1.82
-27.4348489172887,-51.1845742289973,45.3,352.6,68.4,45.5,6.8,1.15
-27.4348037773489,-51.1845741539075,43.0,332.6,72.4,31.7,6.42,1.83
-27.4347586374088,-51.1845740788179,46.3,386.6,82.4,38.9,6.69,0.8
-27.4347134974683,-51.1845740037284,24.3,271.5,51.0,20.7,5.87,1.85
-27.4346683575276,-51.1845739286391,47.2,382.0,71.9,35.4,6.53,1.4
-27.4346232175866,-51.18457385355,30.4,318.1,55.2,29.2,6.09,2.3
-27.4345780776453,-51.1845737784611,37.3,354.8,67.8,30.5,6.34,1.59
-27.4345329377038,-51.1845737033724,25.3,247.6,50.0,31.0,6.02,2.05
-27.4344877977619,-51.1845736282838,33.1,241.6,50.2,30.0,6.06,2.12
-27.4344426578197,-51.1845735531954,49.4,355.9,71.8,37.1,6.67,0.79
-27.4343975178772,-51.1845734781072,37.0,270.8,62.3,30.5,6.15,1.79
-27.4343523779345,-51.1845734030192,37.8,296.8,60.7,33.4,6.4,1.74
-27.4343072379914,-51.1845733279313,40.3,313.8,70.5,37.7,6.3,1.93
-27.4342620980481,-51.1845732528436,47.2,386.2,80.9,38.2,6.62,1.17
-27.4342169581045,-51.1845731777561,45.0,422.1,75.7,37.6,6.82,1.45
-27.4341718181605,-51.1845731026687,31.6,276.4,56.5,27.4,6.27,1.69
-27.4341266782163,-51.1845730275816,43.0,324.6,75.4,34.9,6.55,1.29
-27.4340815382718,-51.1845729524946,30.9,276.9,57.9,19.7,6.14,1.77
-27.434036398327,-51.1845728774078,39.4,327.8,61.4,26.8,6.27,1.67
-27.4339912583819,-51.1845728023211,38.9,290.2,55.0,31.3,6.51,1.91
-27.4339461184365,-51.1845727272347,42.5,350.9,64.8,33.0,6.52,1.61
-27.4339009784908,-51.1845726521484,44.4,379.7,68.4,34.2,6.42,1.51
-27.4338558385449,-51.1845725770622,45.1,359.8,86.3,39.4,6.68,0.88
-27.4338106985986,-51.1845725019763,34.3,259.9,55.3,31.4,6.1,2.16
-27.433765558652,-51.1845724268905,29.1,222.1,45.1,27.0,5.81,1.86
-27.4337204187052,-51.1845723518049,27.7,326.4,54.2,39.1,6.18,1.61
-27.433675278758,-51.1845722767195,34.4,311.6,49.7,29.3,6.3,1.54
-27.4336301388106,-51.1845722016343,31.4,265.7,53.1,27.1,6.23,1.8
-27.4335849988629,-51.1845721265492,29.6,230.2,48.9,23.9,5.94,2.3
-27.4335398589148,-51.1845720514643,45.7,354.4,72.7,35.6,6.84,1.24
-27.4334947189665,-51.1845719763796,33.3,296.9,59.1,23.8,6.16,1.69
-27.4334495790179,-51.1845719012951,34.0,292.9,51.1,29.7,6.39,1.66
-27.433404439069,-51.1845718262107,43.5,366.9,71.8,32.0,6.5,1.75
-27.4333592991198,-51.1845717511265,38.1,301.2,68.2,32.6,6.35,1.58
-27.4333141591703,-51.1845716760425,25.9,248.0,45.5,22.6,6.06,1.5
-27.4332690192205,-51.1845716009586,41.4,354.8,66.7,34.0,6.86,0.92
-27.4332238792705,-51.184571525875,44.6,336.6,69.6,35.7,6.46,1.41
-27.4331787393201,-51.1845714507915,49.3,392.4,71.1,37.4,6.72,1.5
-27.4331335993695,-51.1845713757082,26.0,213.6,46.9,26.0,5.92,1.8
-27.4330884594185,-51.184571300625,44.7,329.9,66.6,32.4,6.41,1.39
-27.4330433194673,-51.1845712255421,38.4,315.0,63.7,34.4,6.34,1.69
-27.4329981795157,-51.1845711504593,33.8,265.6,44.9,23.5,5.84,1.82
-27.4329530395639,-51.1845710753767,47.7,415.1,76.6,36.7,6.83,1.46
-27.4329078996118,-51.1845710002942,28.7,287.7,64.9,30.4,6.19,2.03
-27.4328627596594,-51.1845709252119,44.0,351.4,76.9,34.1,6.5,0.89
-27.4328176197067,-51.1845708501299,42.2,348.0,65.8,32.8,6.35,1.43
-27.4327724797537,-51.1845707750479,49.0,391.7,75.2,37.5,6.79,1.28
-27.4327273398004,-51.1845706999662,26.7,223.2,47.2,23.9,5.89,2.0
-27.4326821998468,-51.1845706248846,28.1,227.2,41.2,22.7,6.2,2.08
-27.4326370598929,-51.1845705498032,29.2,231.3,47.6,24.5,6.02,1.65
-27.4325919199387,-51.184570474722,45.5,391.7,78.8,36.2,6.72,1.04
-27.4325467799843,-51.184570399641,45.7,357.1,75.2,38.1,6.65,1.31
-27.4325016400295,-51.1845703245601,43.6,339.4,75.2,35.7,6.4,1.5
-27.4324565000745,-51.1845702494794,33.0,244.1,44.5,24.1,5.98,2.35
-27.4324113601191,-51.1845701743989,33.5,286.2,57.9,25.7,6.17,1.42
-27.4323662201635,-51.1845700993186,40.0,304.8,68.2,33.9,6.42,1.62
-27.4323210802076,-51.1845700242384,33.3,279.4,57.2,27.3,6.22,1.97
-27.4322759402514,-51.1845699491584,33.4,283.5,62.6,33.8,6.11,1.6
-27.4322308002948,-51.1845698740786,24.9,335.3,68.2,22.9,6.32,2.1
-27.432185660338,-51.1845697989989,30.3,274.3,51.6,27.4,6.07,2.15
-27.4321405203809,-51.1845697239195,38.1,316.1,70.0,32.5,6.24,1.67
-27.4320953804236,-51.1845696488402,50.8,369.6,72.9,36.9,6.66,1.2
-27.4320502404659,-51.1845695737611,39.9,311.8,65.0,30.5,6.5,1.64
-27.4320051005079,-51.1845694986821,44.1,374.8,70.3,29.4,6.57,1.63
-27.4319599605496,-51.1845694236034,39.4,360.3,82.2,46.0,6.39,1.61
-27.4319148205911,-51.1845693485248,48.9,394.5,71.7,36.2,6.76,1.36
-27.4318696806322,-51.1845692734464,38.1,360.0,78.2,33.0,6.47,1.4
-27.4318245406731,-51.1845691983681,37.7,326.7,59.3,35.8,6.62,1.34
-27.4317794007136,-51.1845691232901,46.4,367.3,80.3,40.0,6.86,1.02
-27.4317342607539,-51.1845690482122,35.0,224.0,52.4,21.2,6.07,1.57
-27.4316891207939,-51.1845689731345,36.6,267.0,64.1,24.6,6.26,1.57
-27.4316439808336,-51.1845688980569,41.5,347.5,67.7,32.0,6.58,1.69
-27.431598840873,-51.1845688229796,36.0,286.9,60.3,27.9,6.36,1.53
-27.4315537009121,-51.1845687479024,42.7,374.6,67.8,35.9,6.62,1.31
-27.4315085609509,-51.1845686728253,38.5,294.1,72.2,32.7,6.4,1.51
-27.4314634209894,-51.1845685977485,46.2,378.0,71.0,35.0,6.53,1.42
-27.4314182810276,-51.1845685226718,23.9,234.7,55.1,30.2,6.2,2.36
-27.4313731410655,-51.1845684475954,30.9,213.9,48.4,23.6,6.13,1.46
-27.4313280011032,-51.184568372519,32.5,300.1,59.6,32.5,6.27,1.63
-27.4312828611405,-51.1845682974429,42.9,300.2,58.5,30.0,6.75,1.6
-27.4312377211776,-51.1845682223669,33.1,272.8,48.6,23.3,6.07,1.56
-27.4311925812143,-51.1845681472911,39.9,361.0,69.9,36.1,6.52,1.37
-27.4311474412508,-51.1845680722155,31.9,259.6,55.5,26.6,6.13,1.79
-27.431102301287,-51.1845679971401,42.7,401.6,65.3,40.5,6.49,1.3
-27.4310571613229,-51.1845679220648,29.2,293.0,58.0,30.0,6.25,1.69
-27.4310120213584,-51.1845678469897,41.0,380.3,76.2,37.3,6.46,1.4
-27.4309668813937,-51.1845677719148,56.0,399.0,83.6,32.4,6.8,0.89
-27.4309217414287,-51.1845676968401,50.9,389.0,82.0,39.3,6.91,1.03
-27.4308766014634,-51.1845676217655,49.5,335.9,66.7,33.7,6.66,1.59
-27.4308314614979,-51.1845675466911,50.7,383.0,84.0,36.2,6.72,0.92
-27.430786321532,-51.1845674716169,43.1,367.9,70.0,33.4,6.55,1.11
-27.4307411815658,-51.1845673965429,43.2,374.0,76.6,31.9,6.61,1.24
-27.4306960415994,-51.184567321469,47.2,358.1,72.1,40.3,6.69,1.45
-27.4306509016326,-51.1845672463953,45.3,365.3,81.9,33.5,6.45,1.31
-27.4306057616656,-51.1845671713218,42.0,386.9,70.0,37.2,6.6,1.2
-27.4305606216982,-51.1845670962485,24.8,248.1,48.7,20.1,5.96,2.09
-27.4305154817306,-51.1845670211753,52.2,303.1,66.7,25.5,6.38,1.6
-27.4304703417627,-51.1845669461023,46.4,376.8,72.8,38.1,6.57,1.27
-27.4304252017945,-51.1845668710295,35.5,296.4,58.1,23.6,6.09,1.89
-27.4303800618259,-51.1845667959568,34.8,281.0,55.8,28.1,6.05,1.7
-27.4303349218571,-51.1845667208844,49.2,367.2,81.1,35.9,6.87,1.14
-27.430289781888,-51.1845666458121,47.6,385.1,70.2,35.7,6.79,1.64
-27.4302446419187,-51.18456657074,38.2,271.8,69.8,33.2,6.16,1.89
-27.430199501949,-51.184566495668,35.6,292.6,63.4,31.3,6.34,1.44
-27.430154361979,-51.1845664205963,39.0,362.9,68.9,31.9,6.44,1.27
-27.4301092220087,-51.1845663455247,48.8,378.6,72.2,41.3,6.75,1.25
-27.4300640820382,-51.1845662704533,32.5,277.1,49.5,28.2,6.23,1.85
-27.4300189420673,-51.184566195382,44.2,320.3,70.7,33.0,6.48,1.23
-27.4299738020962,-51.184566120311,51.7,383.3,79.2,35.9,6.65,1.43
-27.4299286621248,-51.1845660452401,36.6,288.5,51.5,26.0,6.22,1.59
-27.429883522153,-51.1845659701694,33.2,294.6,58.0,30.7,6.38,1.71
-27.429838382181,-51.1845658950988,46.0,431.2,73.8,36.9,6.62,1.21
-27.4297932422087,-51.1845658200285,38.1,302.1,67.7,29.0,6.35,2.05
-27.4297481022361,-51.1845657449583,45.0,360.2,76.3,33.0,6.59,1.43
-27.4297029622632,-51.1845656698883,34.6,294.9,59.0,31.4,6.3,1.41
-27.42965782229,-51.1845655948184,40.9,344.2,68.3,32.6,6.66,1.73
-27.4296126823165,-51.1845655197487,32.4,290.6,61.7,25.4,6.35,1.6
-27.4295675423427,-51.1845654446793,37.1,291.2,68.0,35.2,6.34,1.71
-27.4295224023687,-51.1845653696099,30.0,331.5,59.2,31.7,6.33,1.78
-27.4294772623943,-51.1845652945408,42.7,351.3,76.7,36.6,6.66,1.45
-27.4294321224197,-51.1845652194718,36.9,312.7,64.0,38.3,6.4,1.68
-27.4293869824447,-51.1845651444031,41.3,283.7,57.9,33.3,6.47,1.37
-27.4293418424695,-51.1845650693344,34.2,317.9,57.4,31.3,6.24,1.86
-27.4292967024939,-51.184564994266,37.3,282.5,56.0,31.7,6.3,1.62
-27.4292515625181,-51.1845649191977,31.2,268.7,51.7,24.0,6.1,1.86
-27.429206422542,-51.1845648441297,49.9,375.5,73.7,38.2,6.8,1.5
-27.4291612825656,-51.1845647690617,49.6,372.5,75.2,36.0,6.47,1.24
-27.4291161425889,-51.184564693994,49.5,419.7,85.4,39.9,6.51,0.78
-27.4290710026119,-51.1845646189264,41.2,332.3,68.4,34.3,6.57,1.41
-27.4290258626346,-51.184564543859,44.2,400.9,81.1,35.3,6.61,1.0
-27.428980722657,-51.1845644687918,42.0,337.9,67.5,32.8,6.45,1.35
-27.4289355826791,-51.1845643937248,41.5,354.6,68.8,33.8,6.5,1.24
-27.428890442701,-51.1845643186579,44.0,338.8,70.1,36.9,6.49,1.39
-27.4288453027225,-51.1845642435912,48.1,388.7,80.1,45.0,6.58,1.35
-27.4288001627438,-51.1845641685247,40.2,293.3,63.6,30.8,6.33,1.35
-27.4287550227647,-51.1845640934584,38.3,286.1,56.1,27.7,6.24,1.86
-27.4287098827854,-51.1845640183922,34.0,238.2,52.2,24.3,6.1,1.75
-27.4286647428058,-51.1845639433262,34.2,287.5,51.1,24.9,6.29,1.79
-27.4286196028258,-51.1845638682604,42.2,324.5,66.7,29.8,6.44,1.73
-27.4285744628456,-51.1845637931948,39.0,308.5,68.2,28.8,6.35,1.45
-27.4285293228651,-51.1845637181293,52.5,418.3,82.0,38.2,6.67,1.19
-27.4284841828843,-51.184563643064,32.9,246.8,54.1,25.7,6.1,1.95
-27.4284390429032,-51.1845635679989,49.3,386.5,76.2,40.4,6.72,1.53
-27.4283939029218,-51.184563492934,44.5,331.4,84.6,35.7,6.66,1.19
-27.4283487629402,-51.1845634178692,34.5,290.5,61.5,28.2,6.29,1.27
-27.4283036229582,-51.1845633428046,39.7,375.7,67.2,37.3,6.82,1.37
-27.4282584829759,-51.1845632677402,39.6,355.5,64.5,28.1,6.39,1.56
-27.4282133429934,-51.184563192676,39.6,295.7,54.8,28.3,6.26,2.04
-27.4281682030105,-51.1845631176119,46.6,379.7,73.9,39.7,6.63,1.08
-27.4281230630274,-51.184563042548,39.6,283.2,58.7,31.0,6.41,1.64
-27.428077923044,-51.1845629674843,33.1,270.0,54.6,21.8,6.15,2.09
-27.4280327830602,-51.1845628924208,28.4,250.8,41.0,24.2,6.07,2.25
-27.4279876430762,-51.1845628173574,50.2,325.0,67.0,24.1,6.57,1.49
-27.4279425030919,-51.1845627422942,24.8,241.7,49.0,28.2,6.33,1.63
-27.4278973631073,-51.1845626672312,41.0,367.1,71.3,31.7,6.7,1.28
-27.4278522231224,-51.1845625921684,37.3,308.6,57.5,28.4,6.58,1.63
-27.4278070831372,-51.1845625171057,40.6,326.8,66.8,35.0,6.48,1.45
-27.4277619431517,-51.1845624420432,29.1,233.9,53.6,26.2,5.96,1.93
-27.427716803166,-51.1845623669809,29.6,247.2,49.2,20.0,5.99,2.24
-27.4276716631799,-51.1845622919188,45.4,385.0,65.8,32.1,6.47,1.48
-27.4276265231935,-51.1845622168568,41.6,306.9,66.3,33.1,6.41,1.6
-27.4275813832069,-51.184562141795,26.4,253.1,55.3,23.9,5.94,1.87
-27.4275362432199,-51.1845620667334,32.9,278.7,60.0,29.1,6.3,1.44
-27.4274911032327,-51.184561991672,43.7,333.9,65.8,36.9,6.56,1.68
-27.4274459632452,-51.1845619166107,40.9,349.5,68.9,31.8,6.54,1.88
-27.4274008232574,-51.1845618415496,26.7,258.0,44.7,24.4,6.0,1.73
-27.4273556832693,-51.1845617664887,49.5,346.8,69.4,35.0,6.76,1.55
-27.4273105432808,-51.184561691428,36.2,275.1,49.7,24.2,6.18,1.76
-27.4272654032921,-51.1845616163674,46.8,355.6,64.9,30.9,6.41,1.34
-27.4272202633031,-51.184561541307,33.6,319.7,52.8,29.0,6.17,1.7
-27.4271751233139,-51.1845614662468,51.7,403.3,74.7,39.4,6.86,1.27
-27.4271299833243,-51.1845613911868,48.0,357.9,74.6,34.3,6.54,1.43
-27.4270848433344,-51.1845613161269,42.9,367.1,73.4,38.4,6.53,1.47
-27.4270397033443,-51.1845612410672,48.9,339.8,71.8,40.2,6.54,1.25
-27.4269945633538,-51.1845611660077,50.0,367.5,78.7,41.2,6.79,1.0
-27.426949423363,-51.1845610909483,48.0,362.7,70.8,35.7,6.7,1.18
-27.426904283372,-51.1845610158892,30.2,201.2,42.1,28.0,6.05,1.74
-27.4268591433807,-51.1845609408302,44.9,310.3,63.9,29.6,6.56,1.42
-27.426814003389,-51.1845608657714,32.6,254.4,46.0,28.3,6.06,2.29
-27.4267688633971,-51.1845607907127,35.5,345.0,62.4,31.2,6.46,1.3
-27.4267237234049,-51.1845607156543,44.5,331.4,64.3,26.7,6.51,1.65
-27.4266785834124,-51.184560640596,35.5,282.0,57.4,29.8,6.43,1.71
-27.4266334434196,-51.1845605655379,31.6,233.0,47.8,25.7,5.91,1.93
-27.4265883034265,-51.1845604904799,41.1,347.1,71.7,34.0,6.43,1.39
-27.4265431634331,-51.1845604154222,36.3,285.2,63.7,28.9,6.03,1.75
-27.4264980234395,-51.1845603403646,44.0,350.5,69.2,29.5,6.47,1.54
-27.4264528834455,-51.1845602653072,32.5,283.0,57.6,26.0,6.04,1.94
-27.4264077434512,-51.1845601902499,35.8,293.6,55.6,29.3,6.4,1.75
-27.4263626034567,-51.1845601151929,35.2,288.9,49.9,28.4,6.3,1.58
-27.4263174634618,-51.184560040136,27.2,279.1,48.9,23.3,6.11,1.93
-27.4262723234667,-51.1845599650793,40.4,341.9,63.8,28.6,6.37,1.73
-27.4262271834713,-51.1845598900227,40.7,339.9,70.4,38.6,6.7,1.83
-27.4261820434756,-51.1845598149664,29.8,240.5,53.7,25.1,6.11,2.12
-27.4261369034795,-51.1845597399102,41.0,344.6,69.2,35.7,6.59,1.36
-27.4260917634832,-51.1845596648542,28.7,275.6,53.7,28.1,6.11,1.89
-27.4260466234866,-51.1845595897983,40.1,284.6,58.2,26.4,6.09,1.71
-27.4260014834897,-51.1845595147427,52.7,416.1,72.4,35.6,6.77,1.09
-27.4259563434926,-51.1845594396872,32.2,267.4,55.3,26.1,6.11,1.64
-27.4259112034951,-51.1845593646319,47.9,401.1,71.4,41.1,6.67,1.44
-27.4258660634973,-51.1845592895767,40.4,291.6,63.1,34.4,6.54,1.86
-27.4258209234992,-51.1845592145218,41.0,305.3,63.9,28.1,6.23,1.47
-27.4257757835009,-51.184559139467,29.7,281.6,49.1,23.5,6.21,1.89
-27.4257306435022,-51.1845590644124,41.1,311.0,67.1,33.4,6.27,1.81
-27.4256855035033,-51.1845589893579,28.9,268.7,54.2,24.9,5.99,1.91
-27.4256403635041,-51.1845589143037,28.4,252.7,47.7,23.2,6.05,2.43
-27.4255952235045,-51.1845588392496,30.9,237.8,52.6,32.9,6.22,2.01
-27.4255500835047,-51.1845587641957,34.0,329.3,67.2,30.2,6.33,1.92
-27.4255049435046,-51.1845586891419,30.3,231.7,44.1,20.6,6.09,1.96
-27.4254598035042,-51.1845586140884,37.8,305.9,64.3,33.7,6.51,1.68
-27.4254146635035,-51.184558539035,39.5,327.0,56.1,30.9,6.3,1.33
-27.4253695235025,-51.1845584639818,41.2,288.7,62.7,36.7,6.24,1.37
-27.4253243835012,-51.1845583889287,32.3,257.7,46.2,27.6,6.23,1.67
-27.4252792434997,-51.1845583138758,38.8,303.6,64.6,29.8,6.44,1.78
-27.4252341034978,-51.1845582388232,46.4,378.7,75.9,40.0,6.51,1.45
-27.4251889634956,-51.1845581637706,40.5,381.3,66.1,37.2,6.7,1.6
-27.4251438234932,-51.1845580887183,34.4,273.0,55.1,29.2,6.19,2.11
-27.4250986834904,-51.1845580136661,40.5,301.8,57.7,38.0,6.24,1.43
-27.4250535434874,-51.1845579386142,42.7,345.6,65.0,37.3,6.5,1.9
-27.4250084034841,-51.1845578635623,30.8,257.2,58.4,25.2,6.19,1.49
-27.4249632634804,-51.1845577885107,29.0,255.0,58.8,27.5,6.0,1.95
-27.4249181234765,-51.1845577134592,44.7,375.7,71.2,35.6,6.7,1.36
-27.4248729834723,-51.184557638408,28.3,282.2,47.1,23.2,6.05,1.24
-27.4248278434678,-51.1845575633568,40.3,315.7,55.5,31.6,6.32,1.26
